# step time temp etotal ke pe enthalpy density lx ly lz vol pxx pyy pzz press
0 0 297.99999999999988631 1944.0084728232959606 681.31182988829971237 1262.6966429349961345 8374.7396143894420675 1.0944575762720125667 19.126903526409201106 19.126903526409201106 19.126903526409201106 6997.3565196055023989 53576.880274185168673 67336.577015721151838 68134.381175750779221 63015.946155219033244
100 50 297.99999999999988631 -362.2562565634849534 681.31182988829971237 -1043.5680864517846658 816.27359468609336091 0.99298281994670101192 19.757427628503435812 19.757427628503435812 19.757427628503435812 7712.4293622418063023 6738.2734294142501312 11227.684679884883735 13467.687555967613662 10477.881888422245538
200 100 297.99999999999988631 -471.7818371598517615 681.31182988829971237 -1153.0936670481514739 -298.77066800563454763 0.91919471645541661609 20.272554262750130505 20.272554262750130505 20.272554262750130505 8331.5425117873292038 4140.3345332396183949 -1593.8995632780156484 1725.1995908959522694 1423.8781869525173533
300 150 297.99999999999994316 -625.5895952014238901 681.31182988829982605 -1306.9014250897237162 -778.90037460184043994 0.8698868901390333086 20.648573285419715262 20.648573285419715262 20.648573285419715262 8803.7996015028838883 -857.15111824294353937 925.34398050760046317 -3650.3770174242104076 -1194.0613850531851767
400 200 297.99999999999988631 -627.93265258855228694 681.31182988829971237 -1309.2444824768519993 -421.41802087564400381 0.84272751090836872656 20.868052505108870776 20.868052505108870776 20.868052505108870776 9087.5280059431988775 3262.6861753949947342 1975.4638027742435042 -563.48565968723437436 1558.2214394940003785
500 250 297.99999999999988631 -729.38117648615923372 681.31182988829971237 -1410.6930063744589461 -1303.1519831609271023 0.82690201440434740743 21.00033848109158896 21.00033848109158896 21.00033848109158896 9261.4478177020864678 -3715.8657220030363533 -3441.2134321849739536 -5586.8963757810515744 -4247.991843323021385
600 300 297.99999999999988631 -806.65772070737364174 681.31182988829971237 -1487.9695505956733541 -830.67415251038801216 0.81845788029612098757 21.072312578574081243 21.072312578574081243 21.072312578574081243 9356.9993534521290712 -1621.8660109008544623 668.04206222825541772 425.84421911942837369 -175.99324318439101944
700 350 297.99999999999988631 -828.40958044083197365 681.31182988829971237 -1509.721410329131686 -1174.5241354987470004 0.81279340612485584394 21.121151291568367014 21.121151291568367014 21.121151291568367014 9422.2096279927081923 -4320.1689741723703264 -2046.6577022262933951 -1189.5302883977340116 -2518.7856549321340935
800 400 297.99999999999988631 -932.12316497285598871 681.31182988829971237 -1613.4349948611557011 -1115.9138709680953525 0.81000685817093398544 21.145343572090638418 21.145343572090638418 21.145343572090638418 9454.6234757218408049 -1964.3403343554339244 -2878.4517232647904166 844.03818840946053115 -1332.9179564035894145
900 450 297.99999999999988631 -961.90740702370283088 681.31182988829971237 -1643.2192369120025432 -1173.8782813696225276 0.81048552319695510437 21.141180006196520935 21.141180006196520935 21.141180006196520935 9449.0396652002473274 -2641.2744006194075155 131.25711929228884856 -2104.5808350061679448 -1538.1993721110964088
1000 500 297.99999999999988631 -1009.1792853126381715 681.31182988829971237 -1690.4911152009378839 -1203.5955412686182626 0.81385453943808550026 21.11196778931326179 21.11196778931326179 21.11196778931326179 9409.9246064857943566 8.1521708553229839112 -2797.9787825475223144 -1460.201442288460612 -1416.6760179935547512
1100 550 297.99999999999988631 -1050.8245070517323256 681.31182988829971237 -1732.1363369400319243 -1193.092771657914227 0.81899930976297974361 21.067668013797430149 21.067668013797430149 21.067668013797430149 9350.8135665888858057 -908.45321727975931481 391.69139948260237816 -2612.9474869746259174 -1043.2364349239287549
1200 600 297.99999999999988631 -1099.1485763811779179 681.31182988829971237 -1780.4604062694775166 -1051.5756456222279667 0.82506434216860236042 21.015918325597652938 21.015918325597652938 21.015918325597652938 9282.0759125639488047 -378.61365369421031346 -309.36562144443394118 1742.2694435579535366 351.43005613976885115
1300 650 297.99999999999988631 -1139.7058290744103033 681.31182988829971237 -1821.017658962709902 -1459.8329679123924052 0.83300945581369889581 20.948889255664983722 20.948889255664983722 20.948889255664983722 9193.5449271435063565 -2965.7132523477725954 -2656.3381401507749615 -1540.782100748619996 -2387.611164415723124
1400 700 297.99999999999988631 -1180.9551127039562743 681.31182988829971237 -1862.266942592255873 -1099.9340707112110067 0.84154122756497329316 20.877853490562394256 20.877853490562394256 20.877853490562394256 9100.3382911116204923 645.05642388304943324 -177.59075266058570719 1363.9446302551441477 610.47010049253538
1500 750 297.99999999999988631 -1207.7855536650499744 681.31182988829971237 -1889.097383553349573 -1258.3319927935481246 0.84718634458138075694 20.831377813679885946 20.831377813679885946 20.831377813679885946 9039.6993598177032254 -135.04581980909028971 659.1750802093325774 -1674.3519869461986218 -383.40757551531976333
1600 800 297.99999999999988631 -1261.9110904691060568 681.31182988829971237 -1943.2229203574056555 -1523.1439869796481617 0.85044045545494140192 20.80477424320435631 20.80477424320435631 20.80477424320435631 9005.1100081566655717 -2745.527983226588276 -3307.4447044654093588 85.585623004646649292 -1989.1290215624512712
1700 850 297.99999999999988631 -1265.1121122334625397 681.31182988829971237 -1946.4239421217621384 -1112.3038102219315988 0.85589480336163803464 20.760485940720002418 20.760485940720002418 20.760485940720002418 8947.7232794025603653 423.54359072324194813 1383.9665327910852284 1705.5029885110559462 1171.0043706751268928
1800 900 297.99999999999988631 -1304.6102453518074071 681.31182988829971237 -1985.9220752401070058 -1558.0665020595529313 0.86242515122835650132 20.707953137607269412 20.707953137607269412 20.707953137607269412 8879.9704482769739116 -2116.3761181350455445 5.4613456323553828398 -3760.4202377355622957 -1957.1116700794186727
1900 950 297.99999999999988631 -1310.2262239397791745 681.31182988829971237 -1991.5380538280787732 -1344.4794380893545167 0.87123546664525952643 20.637913878228808073 20.637913878228808073 20.637913878228808073 8790.1722897569288762 -2136.9656981933189854 430.09942667584346054 905.28177733338532107 -267.19483139469792832
2000 1000 297.99999999999988631 -1334.292396850059049 681.31182988829971237 -2015.6042267383586477 -1458.7806836759064026 0.88101953134018151648 20.561231958360771443 20.561231958360771443 20.561231958360771443 8692.554006276121072 -648.9730925641201793 -1794.897765948076767 -502.08651174423334851 -981.98579008547733338
2100 1050 297.99999999999988631 -1388.0401572068458336 681.31182988829971237 -2069.3519870951454322 -1139.360938157177543 0.88710136132436612222 20.514135955480917062 20.514135955480917062 20.514135955480917062 8632.9591979493852705 1340.4651639262006029 1670.9399920596288212 2914.0971553388476423 1975.1674371082249309
2200 1100 297.99999999999988631 -1379.6989943792646045 681.31182988829971237 -2061.0108242675642032 -1530.5288374912795462 0.88910684178078935869 20.49870036397285844 20.49870036397285844 20.49870036397285844 8613.4865877533939056 -2893.5018611795776451 22.371297695887626844 -730.95199792435039399 -1200.6941871360145342
2300 1150 297.99999999999988631 -1421.731147091492403 681.31182988829971237 -2103.0429769797920017 -1473.8739122405152102 0.89035957166200807578 20.489082007426254961 20.489082007426254961 20.489082007426254961 8601.3674705187513609 -134.08270907547296247 81.589840657290494619 -1194.5228319016518981 -415.67190010661204269
2400 1200 297.99999999999988631 -1398.0924485596970044 681.31182988829971237 -2079.4042784479966031 -1296.4444105074560412 0.89650609065074193804 20.442149646115986172 20.442149646115986172 20.442149646115986172 8542.3957925369013537 1989.3220400931711538 1303.6586584178196517 -845.24412915497066479 815.91218978533902373
2500 1250 297.99999999999988631 -1450.219871863841945 681.31182988829971237 -2131.5317017521415437 -1486.4394050920311656 0.90106513426204093431 20.407614860092238018 20.407614860092238018 20.407614860092238018 8499.1745497184801934 -377.02508039894428293 -938.92686327614853781 439.33175980829139462 -292.20672795560182067
2600 1300 297.99999999999988631 -1459.500270253355211 681.31182988829971237 -2140.8121001416548097 -1423.4522979640914855 0.90324726468981575422 20.391167541411192587 20.391167541411192587 20.391167541411192587 8478.6416257662785938 2659.2595040101818995 -2990.473590172407512 1205.7948620475453936 291.52692529510579789
2700 1350 297.99999999999988631 -1480.2824701623485453 681.31182988829971237 -2161.594300050648144 -1663.3296863102768839 0.90402005883066316461 20.385355477460610274 20.385355477460610274 20.385355477460610274 8471.3937284362018545 -1428.474185310141138 -686.74820544285057622 -2329.5919634522583692 -1481.6047847350839675
2800 1400 297.99999999999988631 -1500.792342604800524 681.31182988829971237 -2182.1041724931001227 -1476.7689474572136987 0.9098240751474413468 20.341915056199024292 20.341915056199024292 20.341915056199024292 8417.3523936674664583 1066.6547311058770902 -1325.9653747038246365 846.40004575769933126 195.69646738658275353
2900 1450 297.99999999999988631 -1522.5050015391493616 681.31182988829971237 -2203.8168314274489603 -1537.1662635443556155 0.91901519156695232748 20.273874223189245924 20.273874223189245924 20.273874223189245924 8333.1700357432873716 -645.67088522529491001 1755.2156589061235081 -1471.459684795577914 -120.63830370491720601
3000 1500 297.99999999999988631 -1518.84635519673202 681.31182988829971237 -2200.1581850850316187 -1558.7380431259098259 0.92857939534015543348 20.204028095924968511 20.204028095924968511 20.204028095924968511 8247.339856117770978 21.485382446840301185 -1806.0295022957136553 789.56518335603789183 -331.65964549761292801
