# time e1bpip e2bpip e3bpip e4bpip edisp ebuck eele etot
0 0.14401589299005188027 3782.7490162421295281 37.1960361219849176 0 0 0 -722.44898593367179274 1262.7188527809914831
50 234.37588821737017497 1756.2114131415607972 48.778474571423423356 0 0 0 -1755.4122937930569606 -1043.5483659362198523
100 210.32331981844549773 1525.0829766030092287 47.130242047893737833 0 0 0 -1752.1598484099761208 -1153.0728815620766454
150 182.34976035557292562 1313.7540527605046918 34.255666702264967682 0 0 0 -1756.2624113200133706 -1306.8887153633288563
200 182.80345482761879339 1275.0408810374215136 37.824761956610117863 0 0 0 -1759.858725888149138 -1309.233146119921912
250 197.99884933767009443 1302.2954378285533039 38.908607929931363856 0 0 0 -1896.3865089470450584 -1410.6650080114213779
300 168.15072264516692258 1386.7500192177849385 46.149991327417993148 0 0 0 -2015.0773941580741848 -1487.960942087840067
350 176.5433214572999816 1374.2570112646571943 49.227671067147589667 0 0 0 -2038.0953395009071301 -1509.7121112495242414
400 159.86566569222705425 1422.5046487028696447 48.445402162670575308 0 0 0 -2154.3703093511890074 -1613.3999395807750261
450 172.73492141394342525 1490.1479269016913349 47.812519887497259674 0 0 0 -2237.1884136626713371 -1643.226471424494548
500 174.53024020472011557 1568.0357790923142147 40.28484843488533329 0 0 0 -2326.7397499976441395 -1690.4804720941378946
550 172.53484441638906333 1613.1486040443255661 44.697635683032146403 0 0 0 -2400.0540529637873988 -1732.1166095256860444
600 164.42553720676244211 1641.373577671628027 42.710186386346819631 0 0 0 -2450.2535406820657045 -1780.4338743244531997
650 161.12628234481508116 1701.2556484211668248 44.298382030472325255 0 0 0 -2522.4650467363680946 -1821.0016202462807087
700 166.38543775918202527 1804.2240125577027356 51.006012839161300576 0 0 0 -2638.84212002193226 -1862.2663561119468341
750 157.09284824088911137 1880.0966322196852616 52.618537052770513185 0 0 0 -2703.9834687875895725 -1889.0755237612906967
800 168.66424276831844509 1834.4848060824724598 58.687146441138736463 0 0 0 -2742.2831705496682844 -1943.2410831892202623
850 146.61715936492973356 1887.7603777507524683 56.568057531886680067 0 0 0 -2753.2030287041443444 -1946.4187450042045384
900 152.82900305555835985 1921.6418287741516906 61.563310007216145436 0 0 0 -2817.0858330621090317 -1985.9016534159054572
950 146.56035362029663816 1913.1842315973876794 60.714200664822918441 0 0 0 -2802.5623547075319948 -1991.5408265402052166
1000 164.1319637222956942 2000.6410207527155762 59.165039682451258329 0 0 0 -2893.9608884310459871 -2015.5940528404673842
1050 158.57224217519024023 2033.0300515357757831 54.844042805858734368 0 0 0 -2957.3601131744817394 -2069.3127666446080184
1100 168.64696243998881187 2046.331638992801345 61.913043798289223218 0 0 0 -2973.7256637160744503 -2061.0056385575103377
1150 154.2044188646698899 1955.8130302986319293 66.37122697128474158 0 0 0 -2944.1066022067134327 -2103.0216818417225113
1200 158.04593024778060339 2100.9578071252835798 61.720951005609762774 0 0 0 -3010.8468329537345198 -2079.3865363265058477
1250 168.57775836480996645 2160.2466543272048511 51.851024095056871488 0 0 0 -3097.1717729591819079 -2131.504853326428929
