# Time-averaged data for fix rdfout
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 100
1 0.045 0 0
2 0.135 0 0
3 0.225 0 0
4 0.315 0 0
5 0.405 0 0
6 0.495 0 0
7 0.585 0 0
8 0.675 0 0
9 0.765 0 0
10 0.855 0 0
11 0.945 0 0
12 1.035 0 0
13 1.125 0 0
14 1.215 0 0
15 1.305 0 0
16 1.395 0 0
17 1.485 0 0
18 1.575 0 0
19 1.665 0 0
20 1.755 0 0
21 1.845 0 0
22 1.935 0 0
23 2.025 0 0
24 2.115 0 0
25 2.205 0 0
26 2.295 0 0
27 2.385 0 0
28 2.475 0.100215 0.0234375
29 2.565 0.31102 0.101562
30 2.655 1.62564 0.539062
31 2.745 2.19973 1.17188
32 2.835 2.54604 1.95312
33 2.925 2.1526 2.65625
34 3.015 1.82342 3.28906
35 3.105 1.08249 3.6875
36 3.195 1.28297 4.1875
37 3.285 0.663709 4.46094
38 3.375 1.05995 4.92188
39 3.465 0.920387 5.34375
40 3.555 0.858186 5.75781
41 3.645 1.30921 6.42188
42 3.735 1.10019 7.00781
43 3.825 1.077 7.60938
44 3.915 0.974648 8.17969
45 4.005 0.905822 8.73438
46 4.095 0.964072 9.35156
47 4.185 0.899686 9.95312
48 4.275 0.862204 10.5547
49 4.365 0.966644 11.2578
50 4.455 1.19607 12.1641
51 4.545 1.14917 13.0703
52 4.635 1.02877 13.9141
53 4.725 0.989954 14.7578
54 4.815 0.997427 15.6406
55 4.905 1.0122 16.5703
56 4.995 0.894029 17.4219
57 5.085 1.07635 18.4844
58 5.175 0.970465 19.4766
59 5.265 0.952336 20.4844
60 5.355 0.899185 21.4688
61 5.445 0.980145 22.5781
62 5.535 0.828294 23.5469
63 5.625 0.937824 24.6797
64 5.715 0.946114 25.8594
65 5.805 0.941296 27.0703
66 5.895 0.924552 28.2969
67 5.985 0.948373 29.5938
68 6.075 0.948208 30.9297
69 6.165 1.09302 32.5156
70 6.255 1.14026 34.2188
71 6.345 0.981058 35.7266
72 6.435 1.04771 37.3828
73 6.525 0.961324 38.9453
74 6.615 1.00082 40.6172
75 6.705 1.07883 42.4688
76 6.795 1.12579 44.4531
77 6.885 1.01884 46.2969
78 6.975 0.959065 48.0781
79 7.065 0.951186 49.8906
80 7.155 1.16326 52.1641
81 7.245 1.13064 54.4297
82 7.335 1.00797 56.5
83 7.425 1.05421 58.7188
84 7.515 1.00737 60.8906
85 7.605 0.973054 63.0391
86 7.695 1.14051 65.6172
87 7.785 0.955591 67.8281
88 7.875 0.956974 70.0938
89 7.965 0.880632 72.2266
90 8.055 0.92099 74.5078
91 8.145 0.996377 77.0312
92 8.235 0.923417 79.4219
93 8.325 1.0512 82.2031
94 8.415 0.907455 84.6562
95 8.505 0.984542 87.375
96 8.595 0.975113 90.125
97 8.685 1.02555 93.0781
98 8.775 1.02588 96.0938
99 8.865 0.979117 99.0312
100 8.955 0.997814 102.086
100 100
1 0.045 0 0
2 0.135 0 0
3 0.225 0 0
4 0.315 0 0
5 0.405 0 0
6 0.495 0 0
7 0.585 0 0
8 0.675 0 0
9 0.765 0 0
10 0.855 0 0
11 0.945 0 0
12 1.035 0 0
13 1.125 0 0
14 1.215 0 0
15 1.305 0 0
16 1.395 0 0
17 1.485 0 0
18 1.575 0 0
19 1.665 0 0
20 1.755 0 0
21 1.845 0 0
22 1.935 0 0
23 2.025 0 0
24 2.115 0 0
25 2.205 0 0
26 2.295 0 0
27 2.385 0 0
28 2.475 0.0834512 0.0195312
29 2.565 0.38835 0.117188
30 2.655 1.49377 0.519531
31 2.745 2.19772 1.15234
32 2.835 2.73432 1.99219
33 2.925 2.1387 2.69141
34 3.015 1.66446 3.26953
35 3.105 1.2404 3.72656
36 3.195 1.21177 4.19922
37 3.285 0.823996 4.53906
38 3.375 0.996222 4.97266
39 3.465 0.885521 5.37891
40 3.555 0.913972 5.82031
41 3.645 1.10046 6.37891
42 3.735 0.908833 6.86328
43 3.825 1.1179 7.48828
44 3.915 1.00041 8.07422
45 4.005 0.911363 8.63281
46 4.095 1.04237 9.30078
47 4.185 0.963011 9.94531
48 4.275 0.967599 10.6211
49 4.365 1.03545 11.375
50 4.455 1.08176 12.1953
51 4.545 1.03935 13.0156
52 4.635 1.09914 13.918
53 4.725 1.04852 14.8125
54 4.815 0.970085 15.6719
55 4.905 1.04523 16.6328
56 4.995 1.01602 17.6016
57 5.085 1.01217 18.6016
58 5.175 0.847539 19.4688
59 5.265 0.944098 20.4688
60 5.355 0.894803 21.4492
61 5.445 0.993031 22.5742
62 5.535 0.847541 23.5664
63 5.625 0.975704 24.7461
64 5.715 0.920234 25.8945
65 5.805 0.910128 27.0664
66 5.895 0.938404 28.3125
67 5.985 0.9304 29.5859
68 6.075 1.05804 31.0781
69 6.165 1.05978 32.6172
70 6.255 1.08439 34.2383
71 6.345 0.992847 35.7656
72 6.435 1.02455 37.3867
73 6.525 1.0684 39.125
74 6.615 0.978898 40.7617
75 6.705 1.05512 42.5742
76 6.795 1.04955 44.4258
77 6.885 0.983436 46.207
78 6.975 1.02747 48.1172
79 7.065 0.997382 50.0195
80 7.155 1.12828 52.2266
81 7.245 1.11015 54.4531
82 7.335 1.02224 56.5547
83 7.425 1.02731 58.7188
84 7.515 0.990175 60.8555
85 7.605 1.02161 63.1133
86 7.695 1.09635 65.5938
87 7.785 0.974942 67.8516
88 7.875 0.906692 70
89 7.965 0.905587 72.1953
90 8.055 0.945337 74.5391
91 8.145 1.01394 77.1094
92 8.235 0.942153 79.5508
93 8.325 0.969186 82.1172
94 8.415 0.962879 84.7227
95 8.505 1.00624 87.5039
96 8.595 0.960397 90.2148
97 8.685 1.04086 93.2148
