# time e1bpip e2bpip e3bpip e4bpip edisp ebuck eele etot
0 0.14401589298980224663 3566.7042400323598486 89.568851415719919373 0 0 0 -750.81307724856333152 1095.5640579307601001
50 214.66026637591565418 1765.439986417919954 52.875495354473073917 0 0 0 -1816.4163389812310925 -1121.3551976727101191
100 202.3605737960966735 1540.2703272443211517 45.110101361579083346 0 0 0 -1771.9738461851725333 -1182.7325528500332439
150 184.71528855049581352 1336.9977375117978227 36.806603382298099802 0 0 0 -1752.1095811923801193 -1289.5269173955409769
200 164.59508457571658369 1244.9590996253512003 39.25690227246160191 0 0 0 -1753.2458207209424472 -1348.431123589993831
250 163.52909362198366239 1287.6027618365060334 41.372083681397825217 0 0 0 -1859.6987523613875055 -1414.8483499479564216
300 162.32798452002430167 1354.1951073123898368 32.638353805175306377 0 0 0 -1957.66090101547411 -1475.6606364552094419
350 155.54250184951968095 1331.2296692750146576 45.532944538431976866 0 0 0 -2006.3072350924194325 -1534.0562395009874308
400 156.42457395486104588 1405.3048507910671105 45.759427624209294549 0 0 0 -2140.7758745380378969 -1617.2313641143482528
450 148.59249081329284081 1513.5103565912147587 41.406534453649925354 0 0 0 -2263.7064441436386915 -1680.0373303926303379
500 157.34129760319677871 1543.9534523469710621 48.505201948254509148 0 0 0 -2379.2835023409329551 -1762.2571247996811508
550 153.27403853152029001 1625.2527704935205293 55.003091736179605675 0 0 0 -2457.9754632633403162 -1792.6235034637761601
600 151.07692138949306582 1785.7695382654933383 58.159776632575784561 0 0 0 -2566.1903945133149136 -1795.9313100397193921
650 153.70763029742948902 1758.9232589184464359 55.201094304296162818 0 0 0 -2603.7759495475338554 -1852.7841321708817759
700 141.79866484676099958 1648.3874072126372994 56.627833571456072548 0 0 0 -2546.3580653725266529 -1887.2523568170213366
750 142.86999602710505997 1749.6305805596509799 48.081288974037477146 0 0 0 -2645.2828880278475481 -1937.1378176077555509
800 140.47365522285934958 1982.7681378265535841 54.14186262970461172 0 0 0 -2805.3424983261352281 -1947.6178984231373761
850 149.52979309901746774 1924.1456858037770417 55.495963473101255659 0 0 0 -2808.8972946553931251 -1984.180639428555196
900 149.39247869733299012 1944.3419248427894672 52.447579376479623647 0 0 0 -2818.6105711216296186 -1982.1560368782593287
950 155.93975501725350341 1992.8442522702875976 46.518189502729143214 0 0 0 -2928.0183614726438464 -2057.5090552307010512
1000 144.14902596915840149 1921.6440686038790773 47.369164014270950247 0 0 0 -2872.4038935441590183 -2068.4624579296523734
1050 151.3298529892892077 2031.4307188394436707 61.483627888125909067 0 0 0 -2979.8510066705011923 -2088.7019396959758524
1100 134.4844822423526125 2191.8099744392243338 54.949992808843546754 0 0 0 -3067.3866109280211276 -2092.3377952503224151
1150 134.39011050554478288 2083.6604297885023698 57.901968411843697027 0 0 0 -3019.3276022418749562 -2115.3187319608846337
1200 135.25888769897690622 2020.2818860612856042 60.410380489157923023 0 0 0 -2995.5132785900973431 -2137.6053976518651325
1250 145.98841876459277955 2012.4345868383929883 71.54605587330415517 0 0 0 -3015.8839302673686689 -2143.8443355314739165
1300 131.75595497081977214 2038.8631452446029471 60.956606321727392128 0 0 0 -2986.2817591073558106 -2130.3724661076830671
1350 148.99478854328918942 2206.5945203753608439 70.751210131796725022 0 0 0 -3137.1009112213268963 -2154.0574684722519123
1400 148.32726273759863034 2231.4477031671312943 61.822084818728292532 0 0 0 -3126.3573724021907765 -2139.734441308307396
1450 157.86902396822719652 2157.8967645915308822 62.421525268448419865 0 0 0 -3076.9952603048873243 -2126.2942862499194234
1500 163.14826154867154173 2116.398826394288335 57.920228744194425019 0 0 0 -3034.9388601991836367 -2105.7189054610071253
1550 158.47930392115023324 2052.7397267581563938 60.774520542829037595 0 0 0 -3043.5525159848357362 -2153.8743451431214453
1600 158.47608375836787786 2077.5397142424562844 58.066190730078432125 0 0 0 -3055.4321926688694475 -2154.2046701805807061
1650 163.05284900874551113 2101.7776615646280334 57.571727474366696242 0 0 0 -3078.3132607102425027 -2161.9685203359299521
1700 170.19567596071721027 2143.2980564857730315 59.00937298095304584 0 0 0 -3117.9287867325529078 -2175.7260608377782773
1750 165.11833598994323324 2364.7504387074586703 64.49430530249199478 0 0 0 -3273.426799390195356 -2184.2741954840980725
1800 166.30884619736517038 2271.8835760288284291 75.961379789981563704 0 0 0 -3241.6168117154220454 -2211.2557390644001316
1850 156.45989065105180771 2116.6731437856678895 64.535939917625654516 0 0 0 -3114.5443680336411489 -2202.5083694701888817
1900 152.86305751051980906 2086.6035110382763378 65.99329369894034869 0 0 0 -3099.9857727146827528 -2214.5428733584881229
1950 162.22170362430210844 2257.490180091532693 69.48277324842203484 0 0 0 -3207.5656107046097532 -2197.9064746345675303
2000 177.22125212508211689 2252.5915135666064089 69.465119817347883213 0 0 0 -3234.9468877766812511 -2213.5692074502358082
2050 157.39005329681208423 2253.2925135542127464 65.063666166349563014 0 0 0 -3235.0572771392289724 -2238.8675681368595178
2100 172.24237791701824563 2335.5843533773299896 77.405291894338034808 0 0 0 -3313.1991534167054851 -2234.9890112334069272
2150 170.52682844775193871 2261.3825300665189388 69.232869101119533184 0 0 0 -3226.1049382130595404 -2211.6209714687834094
2200 161.52256783436106957 2254.1774163140398741 69.158733129946313056 0 0 0 -3251.298526584377214 -2242.3095359793187527
2250 158.28773506480530386 2291.8006479994091933 57.273760567086831941 0 0 0 -3251.9512094807155336 -2238.1379114965502595
2300 171.84775262803515261 2302.6439260157653734 59.103310981297518367 0 0 0 -3249.6351035062675692 -2210.6238206267180431
2350 172.8644742416827853 2253.0271352857253078 72.541083352536674056 0 0 0 -3209.5686820618461752 -2187.5966278521800632
2400 168.43351203015896544 2198.7271829604133018 67.275823761791855304 0 0 0 -3137.7101813257627327 -2156.2791302682335299
2450 170.84827360147139075 2103.84834875787692 65.925266715792588457 0 0 0 -3090.4253779928671975 -2167.0059329813320801
2500 154.9493935869344341 2076.1197939722078445 53.637050646624068406 0 0 0 -3079.0853331265129782 -2199.8297019175138303
2550 176.73139361887564291 2101.6240698658821202 56.645280331213285763 0 0 0 -3103.2739123790115627 -2193.9401057608865813
2600 172.68528971024022667 2305.6121116193912712 67.861166614992896484 0 0 0 -3241.8309110019413311 -2201.1559386293074567
2650 192.55478534991374318 2375.0210312557051111 56.921682072748509995 0 0 0 -3306.0689029697978185 -2219.1788426079178862
2700 180.27615656848979597 2358.3718540111076436 75.879504564069392814 0 0 0 -3348.8175860391479546 -2267.4059618828628118
2750 177.81809925685917051 2369.444811274881431 69.37247148357633364 0 0 0 -3320.7601495470426016 -2242.4865639950266996
2800 174.25563959923556467 2251.4137488958454014 71.442811138220946532 0 0 0 -3253.9590253015253438 -2249.3313924802650945
2850 169.29783863465590343 2221.4870183749339958 72.84075688951753591 0 0 0 -3242.2863683939276598 -2262.8007598259628139
2900 166.51886349261656051 2339.2926290689993039 69.47113897905506974 0 0 0 -3315.075617239184794 -2261.1324299039133621
2950 167.2391802785897994 2297.1721769424634658 76.12913835722275735 0 0 0 -3286.4193150996338773 -2251.9761871513351252
3000 162.26815156172108345 2264.4415298356575477 63.388309607325773243 0 0 0 -3250.2057441594238298 -2256.8140828842083465
3050 194.5255353335795121 2379.8345622137831015 61.261060862789328496 0 0 0 -3348.3487691452378385 -2247.4398222167224048
3100 185.08318121046110605 2344.924007550499482 69.078496856647319646 0 0 0 -3310.4997545436735891 -2233.3635622366437019
3150 183.09421944838697982 2209.3189079320036399 75.312312112968498923 0 0 0 -3246.2516804918641355 -2251.6687798634425235
3200 179.76949539750134477 2312.8943236655481996 65.626182655580464598 0 0 0 -3285.3264207808556421 -2239.2068393491035749
3250 199.29683637687551823 2235.911074082441246 72.594877578961700237 0 0 0 -3254.5817192544654972 -2242.3019991565352029
3300 203.77988521496200747 2278.4421970568378129 69.31904937528875621 0 0 0 -3243.7249581103960736 -2201.468433911557895
3350 204.79244155633773516 2284.6323394680321144 59.597611900511964222 0 0 0 -3256.2411903402335156 -2235.0378985737916082
3400 191.32465293193027378 2380.4443368853026186 68.155334827782411367 0 0 0 -3301.305432154976188 -2221.2748154076666651
3450 205.04621392982917882 2284.5287851468128792 80.920210359115472443 0 0 0 -3292.9125254987316112 -2251.6907702337721275
3500 204.83812785960611791 2328.8965809517690104 60.434345309068007168 0 0 0 -3294.6047628308742787 -2243.4576514709365256
3550 192.00392689587025075 2213.1310445929461821 74.98882294653915892 0 0 0 -3182.5143819764057298 -2205.1136846536314806
3600 208.38241974765691111 2334.7811985097268916 67.695317954845535269 0 0 0 -3275.0790175554175221 -2209.5840187777412211
3650 197.48801290056005087 2383.7625003085163371 66.980339803465881232 0 0 0 -3318.7780267339858256 -2230.8975845373283846
3700 199.43609708426242833 2310.4187663687971508 69.856231165440604514 0 0 0 -3279.4060453141055405 -2229.0156483985610976
3750 174.82736911967509741 2292.0870735274115759 75.748182524374385594 0 0 0 -3240.0766953026368355 -2210.8104924733856933
3800 191.34343662742492143 2205.0742565412056138 63.861821063481741589 0 0 0 -3207.4716336313072134 -2223.5565759782375608
3850 205.59021336873610153 2264.845839206697292 55.897988893085141626 0 0 0 -3234.7609471127379948 -2204.1170949258644214
3900 186.10855562640017524 2233.052192694462974 64.580216875442360447 0 0 0 -3208.4878583188974517 -2207.5412240901091536
3950 211.29129450853304206 2209.6970980971041172 66.259729968376930742 0 0 0 -3220.7981070426581027 -2209.9043675127190909
4000 205.52863909165955647 2327.2199978740927691 62.692953709367039039 0 0 0 -3314.5672290089828493 -2230.7810105543239843
4050 194.99453019732445114 2331.1590408228794331 51.897212637012458458 0 0 0 -3324.1218927379863999 -2258.7488984341352989
4100 211.88230593886572706 2339.332125679802175 60.882296180338819624 0 0 0 -3336.5629620576532943 -2246.3553054838671414
4150 195.13339541979550518 2344.8429776539205704 56.037820429216225193 0 0 0 -3314.3891661954112351 -2239.6839070872365483
4200 214.13274497773721805 2395.4486992674710564 62.344847035640206911 0 0 0 -3366.5763322846341907 -2230.5662786779889757
4250 194.12959856521086976 2264.1440013378769436 64.502257519018542098 0 0 0 -3254.1663406032125749 -2224.3404226025922981
4300 203.89062366038939444 2234.3409528103793491 57.195551766701818508 0 0 0 -3254.5413341741113982 -2241.4156401946415826
4350 195.65398910590710102 2417.5641215810201174 59.024816329691553562 0 0 0 -3358.8954502284650516 -2232.4342246564729066
4400 196.61118794177971836 2381.6386918253178919 67.243173974409728544 0 0 0 -3359.6462828581888971 -2249.0149594425520263
4450 206.31605543785420309 2266.512514591998297 73.346388019975009342 0 0 0 -3293.6338962148229257 -2236.8843942379394321
4500 198.92157882895816101 2246.5600906804193073 68.722615444388708283 0 0 0 -3248.2009347110270028 -2211.782392058843925
4550 212.82927217348043314 2218.3961742127817161 55.672131554010668708 0 0 0 -3251.8565329846883287 -2239.409754521796458
4600 181.66408007796536594 2282.5443767168317208 71.436852783046120408 0 0 0 -3263.3982119856332247 -2229.7116799906175402
4650 223.05290569662753342 2485.8216104717503185 70.297414916970225818 0 0 0 -3451.9979063278160538 -2250.514891281106884
4700 206.42887068758267333 2472.3121431798472258 71.945191858547616448 0 0 0 -3425.484719581578247 -2248.7052125056115983
4750 201.6268800161106185 2438.1061780980126059 77.115711986009557677 0 0 0 -3425.7555856146327642 -2266.6972250901681036
4800 202.18840377619505944 2371.6091603110162396 65.022683671836801977 0 0 0 -3375.8955216456488415 -2269.169659198343652
4850 223.85864299099870323 2443.6514563087421266 60.22558808771570682 0 0 0 -3450.0125551479231945 -2270.0851556984130184
4900 235.74729552491288587 2539.7924034928742003 72.614041916440413615 0 0 0 -3542.8846031658972606 -2269.0815050685423557
4950 213.41541333489755061 2379.8639805540406087 67.732412205683687034 0 0 0 -3438.7578998132812558 -2285.1603757969874096
5000 215.73718285289834284 2341.3274726335466767 65.451848836526508535 0 0 0 -3398.8475234753695986 -2266.5359902116615558
5050 222.43619121650195325 2358.528928283044479 61.980566918724832703 0 0 0 -3391.7330819576363865 -2244.5269207249057217
5100 247.08269374937020757 2392.9798859220163649 61.599608955145264133 0 0 0 -3433.0374899068065133 -2242.9912510834556088
5150 218.39077706184517069 2366.468472772469795 55.400243822198774524 0 0 0 -3385.240771636655154 -2248.0829759039056626
5200 225.10466133983931059 2452.9066497077519671 63.957649605052218078 0 0 0 -3468.7643664722836547 -2272.4572492647866966
5250 224.99280432113653205 2449.1475309358229424 61.204267442622729334 0 0 0 -3464.2869560728217948 -2288.60418504611971
5300 220.86641534971928991 2513.3565071658795205 62.091514261018382115 0 0 0 -3488.793608323026092 -2279.478419646956354
5350 206.24702691637443763 2430.5309176520086112 75.190990182583476553 0 0 0 -3406.4817255902803481 -2258.1213607538502401
5400 242.58322948294920707 2417.0821062552945477 72.447090880345712094 0 0 0 -3457.6542187524828478 -2281.5456711593146792
5450 227.66728796756527231 2419.2044027382116838 73.58262308943477592 0 0 0 -3406.8921941106236773 -2243.5666174047014465
5500 239.49078277648035851 2410.6799490971156956 65.771376954168658813 0 0 0 -3441.0753149999745801 -2270.934619658882184
5550 225.35028634176717333 2438.216543253666714 67.365366798069743481 0 0 0 -3446.8508308663203934 -2272.9170182257648776
5600 215.41807122554126863 2419.8979052251415851 65.703891716180777394 0 0 0 -3456.4981510878915287 -2298.6453705763915423
5650 234.44319140999940032 2324.7546674450163664 67.826254390570113628 0 0 0 -3381.1400761788563614 -2266.0582988967357778
5700 218.10268316056627214 2449.5354574183897967 73.411276805284089164 0 0 0 -3416.8771966661774968 -2221.1834553891458199
5750 247.40048280137807524 2390.6491909052647316 63.827925047735305952 0 0 0 -3423.531833933058806 -2248.9692908329998318
5800 226.82971699994936898 2370.6252638912228576 65.732210132022629523 0 0 0 -3421.4183869253261037 -2276.0894445262574664
5850 218.00074930065633794 2310.2205515970617853 78.012505799144491903 0 0 0 -3380.4801465564987666 -2265.7805048565010111
5900 226.11568621497454501 2402.620235680848964 72.334578985002622176 0 0 0 -3449.0716843172099288 -2276.0177932532874365
5950 217.70514296306481583 2484.3497925791421039 67.205513858692683016 0 0 0 -3530.7990312344718404 -2323.2139982467829213
6000 222.9790459858951408 2531.6074870092079436 65.895927679886654005 0 0 0 -3569.4854060639599993 -2329.0185369848613846
6050 209.89877062184453393 2527.5718569928208126 61.77169798446658433 0 0 0 -3546.9317750717304989 -2326.1938783951436562
6100 211.96691808568067472 2419.6841113092136766 63.604773971075879047 0 0 0 -3473.7939591436643241 -2315.1974869977293565
6150 231.82925725513041471 2373.9245514154608827 61.386517663551757096 0 0 0 -3409.5337465036545836 -2269.2028600749936231
6200 226.32164959960203987 2381.9061359326142338 72.493890274855132816 0 0 0 -3437.7155473866118882 -2279.566387597494213
6250 215.36920118221783582 2356.3904744492283498 72.314746195684534769 0 0 0 -3392.6720793447598226 -2274.6074353445037559
6300 220.47695742152450293 2360.8973806740659711 71.440466866473599339 0 0 0 -3397.0374260429935021 -2275.5278597900141904
6350 212.09157277055010127 2415.2647549972521119 64.106624160899272624 0 0 0 -3484.598359675298525 -2356.8332684776269161
6400 223.82756357435368955 2476.0306947157987452 60.354752111760937794 0 0 0 -3524.962390552159377 -2358.729938261200914
6450 237.76204673131812228 2606.9604523430402878 66.051977849433029633 0 0 0 -3599.6289794170361347 -2335.7409712664975814
6500 230.00454039076922186 2574.2566808270516958 50.283316611080849157 0 0 0 -3537.1359101036050561 -2321.493576927504364
6550 211.70904074164803887 2508.7448906318008994 58.999191165920926494 0 0 0 -3470.9766388332218412 -2307.1327131175457907
6600 247.11410550829566546 2535.3634215467586728 61.106653218429542562 0 0 0 -3521.5731061886290263 -2296.3009088366507058
