# time e1bpip e2bpip e3bpip e4bpip edisp ebuck eele etot
0 0.2936373111339102282 3580.19177715116939 68.218963201218542736 0 0 0 -4600.3713551161617943 -3035.2600326997799129
50 320.87314776565983721 3373.8608551067036387 55.148303359719413663 0 0 0 -4647.2011253921955358 -2932.2329058103796342
100 238.1518589326389872 2989.3886898806213139 62.818104205855341604 0 0 0 -4321.3801348740689718 -2910.4587941936215429
150 280.49694992533602544 2895.4372988837685625 64.939124203466235485 0 0 0 -4292.3934032855795522 -2878.0345480219448291
200 303.06251637491902784 3025.3260781517437863 56.36175094408697106 0 0 0 -4351.0135843932494026 -2828.8191434676523386
250 294.38135665916064454 2921.296362519727154 67.226838100826299183 0 0 0 -4304.4121876129265729 -2846.4023887550429208
300 312.77177498979142456 2907.5598379373454918 77.437502206115084391 0 0 0 -4321.5208764552917273 -2848.89949110500811
350 302.6939908487912021 2937.4169197548881129 67.047349384256961002 0 0 0 -4288.7745910549610926 -2817.2432710043722182
400 291.06581391978636475 3053.7393777678512379 72.764340733715101806 0 0 0 -4375.0940917749385335 -2840.4887497366325988
450 299.08720959855088495 3135.7151901661986813 80.361134034093922196 0 0 0 -4466.5924636723329968 -2881.3539246108848602
500 287.24149655253643232 3133.5286328176980533 67.981969511902590853 0 0 0 -4419.7531128045520745 -2863.7786876298646348
550 312.51342425419449 2990.8059570203008661 64.954056523707890847 0 0 0 -4308.5340662660173621 -2826.1349210175890221
600 324.15859687512335086 2865.4371233819974805 75.712445985288653105 0 0 0 -4235.9422489602447968 -2810.0940541720628971
650 318.33382533030146533 2927.9793428070724985 60.235950527791274567 0 0 0 -4229.2115929514793606 -2782.742794108126418
700 319.61403157606304148 3020.1949407003312444 69.771558625768378192 0 0 0 -4288.2562065429410723 -2771.2510034359970632
750 330.40034239730613308 3003.4026940564294819 75.390023061701540996 0 0 0 -4331.8680010358657455 -2816.3532428066282591
800 285.88010894387883809 3049.7779852001508516 84.378684148434089707 0 0 0 -4331.4859746426882339 -2819.0689364793988716
850 304.64067209280045745 2928.6381110494030509 84.949457664868702977 0 0 0 -4285.4002029705943642 -2837.7847530525195907
900 297.02556758698671047 2891.0317804678752509 72.880938915411718426 0 0 0 -4210.2400287045529694 -2801.9631554897114256
950 310.32103316000802806 2930.0584325906925187 71.329645525805773332 0 0 0 -4267.1110591296583152 -2828.2753070093276619
