# step time temp etotal ke pe enthalpy density lx ly lz vol pxx pyy pzz press
0 0 297.99999999999994316 1777.7641692139600309 682.20011128319981708 1095.5640579307601001 7997.3446436622216424 1.0982543853010691137 19.126903526409201106 19.126903526409201106 19.126903526409201106 6997.3565196055023989 53387.971589490494807 62013.897971517508267 67438.653386324396706 60946.84098244413326
100 0.050000000000000002776 862.05284101657423435 852.10971532563098663 1973.4649129983411058 -1121.3551976727101191 2522.4230503831777241 0.9941861476506067552 19.772264589085700948 19.772264589085700948 19.772264589085700948 7729.817500809230296 12788.06455631231438 18259.550537398296001 13402.621121932144888 14816.745405214254788
200 0.10000000000000000555 651.80621746959104712 309.42272934069387702 1492.1552821907271209 -1182.7325528500332439 1176.3948584207466865 0.92236530390700111059 20.272687695541304009 20.272687695541304009 20.272687695541304009 8331.7070260771761241 5647.8061017289364827 6971.9499972400299157 8785.3069526242088614 7135.0210171977278151
300 0.14999999999999999445 564.50458100152536645 2.7720355545152415289 1292.2989529500562185 -1289.5269173955409769 328.80529665065961353 0.87500690448557394419 20.632023448904398322 20.632023448904398322 20.632023448904398322 8782.6478211503872444 3574.8326310016232128 1568.7828071152421217 2492.6638728240905039 2545.4264369803177033
400 0.2000000000000000111 498.44294762196210513 -207.36456541540064791 1141.0665581745931831 -1348.431123589993831 -39.870374476640080275 0.8477198927392104455 20.851062554893339041 20.851062554893339041 20.851062554893339041 9065.3499451804418641 2789.5327121594464188 350.49758270790607639 660.64301520735727991 1266.8911033582357959
500 0.25 457.46890683589697346 -367.58211118267877282 1047.2662387652776488 -1414.8483499479564216 -355.48993269934504724 0.83300938847043515256 20.973086626532886356 20.973086626532886356 20.973086626532886356 9225.4392201781502081 -1120.3566592480990494 442.49451337912506688 947.48882467872772395 89.875559603251588214
600 0.2999999999999999889 428.40786264210584022 -494.92274528392601951 980.73789117128342241 -1475.6606364552094419 -264.83792969628871106 0.82467861989821067414 21.043472378034323356 21.043472378034323356 21.043472378034323356 9318.6330986976554414 3299.4233074811577353 1133.0573135286822435 646.55327376270838613 1693.0112982575165006
700 0.35000000000000003331 405.75797225225841203 -605.1698843850939511 928.88635511589347971 -1534.0562395009874308 -700.64603410929089478 0.8179234900267848829 21.101245441714148399 21.101245441714148399 21.101245441714148399 9395.5945475048156368 -2821.7821961684762755 -1166.3771652884331615 1897.8238673727810237 -696.778498028042236
800 0.4000000000000000222 399.79563165587074991 -701.99436946276352955 915.23699465158472321 -1617.2313641143482528 -795.26206117559695485 0.81523925427335930394 21.124379209310223615 21.124379209310223615 21.124379209310223615 9426.530239912784964 -1179.1653130513684573 -386.97605664104764855 -469.14127260358844751 -678.42754743200066514
900 0.4500000000000000111 386.91395411600257148 -794.28987215450990789 885.74745823812043 -1680.0373303926303379 -841.23287233816211028 0.81672335169590115633 21.111576161079838698 21.111576161079838698 21.111576161079838698 9409.400952249445254 1025.3203246017455967 813.66670466083996871 -2865.2395402159786499 -342.08417031779720219
