#$(time) $(c_NaMSD[1]) $(c_NaMSD[2]) $(c_NaMSD[3]) $(c_NaMSD[4])
0 0 0 0 0
0.5 0 0 0 0
1 0 0 0 0
1.5 0 0 0 0
2 5.4782007307014715521e-31 0 0 5.4782007307014715521e-31
2.5 4.0248005368418970558e-31 9.273140436883732498e-30 0 9.6756204905679217657e-30
3 3.0814879110195773649e-31 1.9721522630525295135e-31 0 5.0536401740721068784e-31
3.5 8.7651211691223529069e-32 1.5582437633995294057e-31 0 2.4347558803117646964e-31
4 7.0997481469891081755e-32 1.2621774483536188887e-29 0 1.2692771965006079837e-29
4.5 5.8675604520571138599e-32 1.0431218581434865737e-29 0 1.0489894185955436492e-29
5 4.9303806576313237838e-32 1.2621774483536188887e-29 0 1.2671078290112502124e-29
5.5 4.2010344065024303872e-32 1.0754648080646221791e-29 0 1.0796658424711246478e-29
6 3.6223204831577069123e-32 1.2621774483536188887e-29 0 1.2657997688367766131e-29
6.5 1.0132480071505439207e-30 0 0 1.0132480071505439207e-30
7 1.232595164407830946e-32 0 0 1.232595164407830946e-32
7.5 1.0918490037661063382e-32 0 0 1.0918490037661063382e-32
8 5.4782007307014715521e-31 0 0 5.4782007307014715521e-31
8.5 1.9666892373931040572e-32 0 0 1.9666892373931040572e-32
9 5.0487097934144765355e-31 0 0 5.0487097934144765355e-31
9.5 2.8620803817542373711e-32 0 0 2.8620803817542373711e-32
10 2.6078046453587167845e-32 0 0 2.6078046453587167845e-32
10.5 2.3859687114435137582e-32 0 0 2.3859687114435137582e-32
11 2.1912802922805882267e-32 0 0 2.1912802922805882267e-32
11.5 2.0194839173657903186e-32 0 0 2.0194839173657903186e-32
12 1.8671264028899690002e-32 0 0 1.8671264028899690002e-32
12.5 5.2374304269817531705e-31 1.1704142045089800204e-29 0 1.2227885087787975696e-29
13 2.5155003355261851125e-32 1.6099202147367586581e-32 0 4.1254205502629434969e-32
13.5 2.3450086362099031977e-32 1.5008055271743386158e-32 0 3.8458141633842420872e-32
14 2.1912802922805874057e-32 1.4024193870595765417e-32 0 3.5936996793401639474e-32
14.5 2.0521875786186562729e-32 1.3134000503159404197e-32 0 3.3655876289345964189e-32
15 1.9259299443872353057e-32 1.232595164407830946e-32 0 3.1585251087950662516e-32
15.5 1.8109754481657748149e-32 1.1590242868260964399e-32 0 2.9699997349918715285e-32
16 9.8539372589891097366e-31 1.0918490037661063382e-32 0 9.9631221593657202883e-31
16.5 1.0303489374315251142e-32 1.0303489374315255248e-32 0 2.0606978748630507758e-32
17 9.7390235212470533116e-33 9.7390235212470587854e-33 0 1.9478047042494112097e-32
17.5 5.9006104232747715436e-31 1.1294137138299365552e-29 0 1.1884198180626843057e-29
18 1.3657564148563211064e-32 3.4963364220321847473e-32 0 4.8620928368885061274e-32
18.5 1.2966155575624769062e-32 3.3193358273599440985e-32 0 4.6159513849224210047e-32
19 1.2325951644078298512e-32 3.1554436208840478347e-32 0 4.3880387852918776859e-32
19.5 1.1732018221609328881e-32 3.0033966647319903612e-32 0 4.1765984868929233861e-32
20 1.1180001491227482546e-32 2.8620803817542373711e-32 0 3.9800805308769857626e-32
20.5 1.0666047934302477701e-32 2.7305082711814358679e-32 0 3.7971130646116837748e-32
21 1.0186736895932481966e-32 2.6078046453587167845e-32 0 3.6264783349519648442e-32
21.5 9.7390235212470533116e-33 1.0994967994547080832e-29 0 1.1004707018068327234e-29
22 9.3201902790762182625e-33 5.3684296007479062296e-32 0 6.300448628655527919e-32
22.5 8.9278056272183245353e-33 1.0564808067025084637e-29 0 1.0573735872652302514e-29
23 9.2581592348854844095e-31 8.7651211691223529069e-32 0 1.0134671351797720138e-30
23.5 5.2568823338343084559e-33 8.4110117341349011928e-32 0 8.9366999675183317647e-32
24 5.0487097934144703228e-33 8.0779356694631579902e-32 0 8.5828066488046046804e-32
24.5 4.8526622389604671405e-33 7.7642595823367528986e-32 0 8.24952580623280016e-32
25 6.4445034749749075743e-31 7.4685056115598727164e-32 0 7.1913540361308945175e-31
25.5 7.0208339731311088159e-33 7.1893339884862563471e-32 0 7.8914173857993666813e-32
26 6.7632107786437886945e-33 6.9255278373312383971e-32 0 7.6018489151956169928e-32
26.5 6.5195116133967878558e-33 6.6759798921183119905e-32 0 7.3279310534579911866e-32
27 6.2887508388154586758e-33 6.4396808589470324428e-32 0 7.0685559428285781736e-32
27.5 6.0700285104725393149e-33 6.2157091947238814408e-32 0 6.8227120457711355092e-32
28 5.8625215905247559416e-33 6.0032221086973522737e-32 0 6.5894742677498275942e-32
28.5 8.9945100052346917976e-31 5.8014476224239850454e-32 0 9.5746547674770896453e-31
29 3.5060484676489386174e-33 5.6096775482383039774e-32 0 5.9602823950031981813e-32
29.5 8.6836180268348957685e-31 5.4272612667718076658e-32 0 9.2263441535120774109e-31
30 1.8469688207567892908e-33 5.2536002012637594893e-32 0 5.4382970833394379736e-32
30.5 1.7888002385963963043e-33 5.0881429008964200468e-32 0 5.2670229247560597457e-32
31 6.933347799794049071e-31 4.9303806576313215943e-32 0 7.4263858655571814494e-31
31.5 2.9874022446239476086e-33 4.7798435913983183633e-32 0 5.0785838158607135347e-32
32 6.7386396426248517692e-31 4.63609714730438357e-32 0 7.2022493573552900167e-31
32.5 8.8586496396059708983e-31 1.0808220341883072425e-29 0 1.1694085305843669165e-29
33 2.7296225094152631086e-33 6.8240562735381594821e-32 0 7.0970185244796858614e-32
33.5 2.6510763460483463014e-33 6.6276908651208672931e-32 0 6.892798499725701547e-32
34 2.5758723435788114171e-33 6.4396808589470291585e-32 0 6.6972680933049103687e-32
34.5 2.5038235436493103174e-33 6.2595588591232786329e-32 0 6.509941213488210041e-32
35 2.4347558803117619595e-33 6.0868897007794073618e-32 0 6.3303652888105838315e-32
35.5 2.3685071277042925267e-33 5.9212678192607325825e-32 0 6.1581185320311622799e-32
36 2.3049259465917052394e-33 5.7623148664792621064e-32 0 5.9928074611384324593e-32
36.5 6.8718549965919255198e-31 5.6096775482383017879e-32 0 7.4328227514157553702e-31
37 3.4143910371408041344e-33 5.4630256594252844255e-32 0 5.8044647631393650442e-32
37.5 3.326281435406524123e-33 5.3220502966504364073e-32 0 5.6546784401910884775e-32
38 8.7184430090501043251e-31 5.1864622302499076249e-32 0 9.2370892320750942117e-31
38.5 2.0223961678474888402e-33 5.0559904196187201505e-32 0 5.2582300364034690003e-32
39 6.933347799794049071e-31 4.9303806576313194048e-32 0 7.4263858655571814494e-31
39.5 3.0058714571750160572e-33 1.0821137245830066641e-29 0 1.0824143117287241837e-29
40 2.9330045554023322202e-33 6.7576424956469724283e-32 0 7.0509429511872055477e-32
40.5 2.8627554986972391269e-33 6.5957886689984377223e-32 0 6.8820642188681618745e-32
41 2.7950003728068706366e-33 6.4396808589470291585e-32 0 6.7191808962277163932e-32
41.5 2.7296225094152637929e-33 6.289050261692767516e-32 0 6.5620125126342938953e-32
42 8.6394988267850149978e-31 6.1436436101582263236e-32 0 9.2538631878008381776e-31
42.5 1.6675616968603747573e-33 6.0032221086973500842e-32 0 6.1699782783833880731e-32
43 1.6298779033491966218e-33 5.8675604520571072913e-32 0 6.0305482423920265429e-32
43.5 1.5934572002949346422e-33 5.7364459210617648488e-32 0 5.8957916410912580735e-32
44 1.5582437633995281604e-33 5.6096775482383017879e-32 0 5.7655019245782541592e-32
44.5 1.5241848186856875519e-33 1.4046887289007307864e-29 0 1.4048411473825994533e-29
45 7.0544520222327953776e-31 3.728076111630487305e-32 0 7.4272596333958444913e-31
45.5 2.2802084206873956307e-33 3.6483334730998330091e-32 0 3.8763543151685727774e-32
46 2.2319514068045818181e-33 3.5711222508873309089e-32 0 3.7943173915677893302e-32
46.5 2.185210263770115125e-33 3.4963364220321842e-32 0 3.7148574484091958835e-32
