# Time-averaged data for fix rdfout
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5]
0 100
1 0.045 0 0 0 0
2 0.135 0 0 0 0
3 0.225 0 0 0 0
4 0.315 0 0 0 0
5 0.405 0 0 0 0
6 0.495 0 0 0 0
7 0.585 0 0 0 0
8 0.675 0 0 0 0
9 0.765 0 0 0 0
10 0.855 0 0 0 0
11 0.945 0 0 0 0
12 1.035 0 0 0 0
13 1.125 0 0 0 0
14 1.215 0 0 0 0
15 1.305 0 0 0 0
16 1.395 0 0 0 0
17 1.485 0 0 0 0
18 1.575 0 0 0 0
19 1.665 0 0 0 0
20 1.755 0 0 0 0
21 1.845 0 0 0 0
22 1.935 0 0 0 0
23 2.025 0 0 0 0
24 2.115 0 0 0 0
25 2.205 0 0 5.38799 0.00333333
26 2.295 0 0 4.97374 0.00666667
27 2.385 0 0 4.60549 0.01
28 2.475 0.0286065 0.00666667 4.27668 0.0133333
29 2.565 0.426151 0.113333 3.98185 0.0166667
30 2.655 1.91418 0.626667 3.7165 0.02
31 2.745 3.20936 1.54667 0 0.02
32 2.835 2.61639 2.34667 0 0.02
33 2.925 1.86388 2.95333 0 0.02
34 3.015 1.388 3.43333 0 0.02
35 3.105 0.999706 3.8 0 0.02
36 3.195 0.978516 4.18 0 0.02
37 3.285 0.84444 4.52667 0 0.02
38 3.375 0.907699 4.92 0 0.02
39 3.465 0.904949 5.33333 0 0.02
40 3.555 0.873578 5.75333 0 0.02
41 3.645 0.870543 6.19333 0 0.02
42 3.735 0.577855 6.5 1.87803 0.0233333
43 3.825 1.01812 7.06667 3.58139 0.03
44 3.915 0.90325 7.59333 0 0.03
45 4.005 1.1144 8.27333 0 0.03
46 4.095 0.940547 8.87333 0 0.03
47 4.185 1.18069 9.66 1.49588 0.0333333
48 4.275 1.15068 10.46 2.86712 0.04
49 4.365 1.02095 11.2 2.75011 0.0466667
50 4.455 1.1832 12.0933 0 0.0466667
51 4.545 1.07742 12.94 2.5366 0.0533333
52 4.635 1.18282 13.9067 0 0.0533333
53 4.725 1.13819 14.8733 1.17351 0.0566667
54 4.815 1.00533 15.76 1.13005 0.06
55 4.905 0.859518 16.5467 0 0.06
56 4.995 1.06764 17.56 0 0.06
57 5.085 1.03018 18.5733 1.01324 0.0633333
58 5.175 0.870329 19.46 0 0.0633333
59 5.265 0.935659 20.4467 0.945142 0.0666667
60 5.355 0.983921 21.52 1.82728 0.0733333
61 5.445 0.880732 22.5133 2.65106 0.0833333
62 5.535 0.926688 23.5933 0.855184 0.0866667
63 5.625 0.94712 24.7333 0 0.0866667
64 5.715 0.965816 25.9333 1.60433 0.0933333
65 5.805 0.910098 27.1 0.777484 0.0966667
66 5.895 0.988424 28.4067 0.753926 0.1
67 5.985 0.890427 29.62 1.46284 0.106667
68 6.075 1.05893 31.1067 1.41982 0.113333
69 6.165 0.912966 32.4267 2.06801 0.123333
70 6.255 0.985426 33.8933 0.669642 0.126667
71 6.345 1.0752 35.54 0.65078 0.13
72 6.435 0.876051 36.92 1.89811 0.14
73 6.525 1.10726 38.7133 0.61537 0.143333
74 6.615 1.0533 40.4667 0.59874 0.146667
75 6.705 1.12267 42.3867 0 0.146667
76 6.795 1.10451 44.3267 0 0.146667
77 6.885 1.00558 46.14 1.1054 0.153333
78 6.975 1.07346 48.1267 1.61559 0.163333
79 7.065 0.972552 49.9733 0.524897 0.166667
80 7.155 1.03724 51.9933 2.0471 0.18
81 7.245 1.06839 54.1267 0.49914 0.183333
82 7.335 0.980447 56.1333 0.486966 0.186667
83 7.425 1.03629 58.3067 1.4257 0.196667
84 7.515 1.00852 60.4733 0.927836 0.203333
85 7.605 0.987819 62.6467 0.906006 0.21
86 7.695 0.985565 64.8667 1.32741 0.22
87 7.785 0.936885 67.0267 0 0.22
88 7.875 0.935374 69.2333 0.422473 0.223333
89 7.965 0.983416 71.6067 1.65192 0.236667
90 8.055 0.972367 74.0067 0.807605 0.243333
91 8.145 1.02761 76.6 0.394928 0.246667
92 8.235 0.961335 79.08 1.54537 0.26
93 8.325 0.983649 81.6733 0.378035 0.263333
94 8.415 1.05182 84.5067 0.739984 0.27
95 8.505 1.04179 87.3733 1.81101 0.286667
96 8.595 0.946543 90.0333 1.06397 0.296667
97 8.685 1.04087 93.02 1.73672 0.313333
98 8.775 0.98094 95.8933 1.70128 0.33
99 8.865 1.09046 99.1533 1.00015 0.34
100 8.955 0.972498 102.12 0.653431 0.346667
100 100
1 0.045 0 0 0 0
2 0.135 0 0 0 0
3 0.225 0 0 0 0
4 0.315 0 0 0 0
5 0.405 0 0 0 0
6 0.495 0 0 0 0
7 0.585 0 0 0 0
8 0.675 0 0 0 0
9 0.765 0 0 0 0
10 0.855 0 0 0 0
11 0.945 0 0 0 0
12 1.035 0 0 0 0
13 1.125 0 0 0 0
14 1.215 0 0 0 0
15 1.305 0 0 0 0
16 1.395 0 0 0 0
17 1.485 0 0 0 0
18 1.575 0 0 0 0
19 1.665 0 0 0 0
20 1.755 0 0 0 0
21 1.845 0 0 0 0
22 1.935 0 0 0 0
23 2.025 0 0 0 0
24 2.115 0 0 0 0
25 2.205 0 0 8.16053 0.005
26 2.295 0 0 2.48687 0.00666667
27 2.385 0 0 4.63906 0.01
28 2.475 0.0723503 0.0166667 4.30785 0.0133333
29 2.565 0.496814 0.14 4.01088 0.0166667
30 2.655 1.7768 0.613333 3.74359 0.02
31 2.745 2.79624 1.41 0 0.02
32 2.835 2.61334 2.20333 0 0.02
33 2.925 2.1684 2.90333 0 0.02
34 3.015 1.5937 3.45 0 0.02
35 3.105 1.0531 3.83333 0 0.02
36 3.195 1.0379 4.23333 0 0.02
37 3.285 0.883547 4.59333 0 0.02
38 3.375 0.859684 4.96333 0 0.02
39 3.465 0.770862 5.31333 1.10695 0.0216667
40 3.555 0.809603 5.7 0 0.0216667
41 3.645 0.836741 6.12 1.00033 0.0233333
42 3.735 0.715891 6.49667 0.939014 0.025
43 3.825 0.970855 7.03333 1.79069 0.0283333
44 3.915 0.927233 7.57 0 0.0283333
45 4.005 0.995046 8.17333 0.828584 0.03
46 4.095 0.952704 8.77667 0 0.03
47 4.185 1.13854 9.53 2.26563 0.035
48 4.275 1.21744 10.37 1.43356 0.0383333
49 4.365 1.07505 11.1433 2.07261 0.0433333
50 4.455 1.16495 12.0167 0.669652 0.045
51 4.545 1.01211 12.8067 3.19849 0.0533333
52 4.635 1.12109 13.7167 0 0.0533333
53 4.725 1.10667 14.65 1.18207 0.0566667
54 4.815 1.00116 15.5267 1.71155 0.0616667
55 4.905 0.991417 16.4267 0 0.0616667
56 4.995 1.08611 17.45 0 0.0616667
57 5.085 1.01362 18.44 0.506619 0.0633333
58 5.175 0.923147 19.3733 0.496281 0.065
59 5.265 0.942479 20.36 0.952031 0.0683333
60 5.355 0.96009 21.4 1.37712 0.0733333
61 5.445 0.857166 22.36 1.77382 0.08
62 5.535 0.947951 23.4567 0.861417 0.0833333
63 5.625 0.965262 24.61 0.420054 0.085
64 5.715 0.888476 25.7067 1.61602 0.0916667
65 5.805 0.943113 26.9067 1.57197 0.0983333
66 5.895 0.941905 28.1433 0.759421 0.101667
67 5.985 0.939109 29.4133 0.731422 0.105
68 6.075 1.01847 30.8333 2.15043 0.115
69 6.165 0.935994 32.1767 1.3837 0.121667
70 6.255 0.960797 33.5967 0.674522 0.125
71 6.345 1.05875 35.2067 0.985656 0.13
72 6.435 0.938256 36.6733 1.27002 0.136667
73 6.525 1.10697 38.4533 0.932026 0.141667
74 6.615 1.07317 40.2267 0.603104 0.145
75 6.705 1.07746 42.0567 0 0.145
76 6.795 1.0625 43.91 0.575711 0.148333
77 6.885 1.0598 45.8067 0.552701 0.151667
78 6.975 1.05387 47.7433 1.90056 0.163333
79 7.065 1.00101 49.63 1.06127 0.17
80 7.155 1.05175 51.6633 1.54279 0.18
81 7.245 1.07449 53.7933 0.24957 0.181667
82 7.335 0.980984 55.7867 1.23161 0.19
83 7.425 1.00837 57.8867 0.953929 0.196667
84 7.515 1.00485 60.03 1.64062 0.208333
85 7.605 1.01808 62.2533 0.912609 0.215
86 7.695 0.947707 64.3733 0.663703 0.22
87 7.785 0.961316 66.5733 0.219299 0.221667
88 7.875 0.986632 68.8833 0.425552 0.225
89 7.965 0.977971 71.2267 1.03546 0.233333
90 8.055 0.983565 73.6367 0.813491 0.24
91 8.145 0.973451 76.0767 0.798491 0.246667
92 8.235 0.964409 78.5467 0.968673 0.255
93 8.325 0.988253 81.1333 0.572563 0.26
94 8.415 0.996709 83.8 0.745377 0.266667
95 8.505 1.00268 86.54 1.82421 0.283333
96 8.595 0.96668 89.2367 0.711899 0.29
97 8.685 1.02371 92.1533 1.39697 0.303333
98 8.775 0.991554 95.0367 1.36847 0.316667
99 8.865 1.08484 98.2567 1.17656 0.328333
100 8.955 0.990672 101.257 0.823933 0.336667
